SYMBOLS,GENERAL_TIMEFRAME,DEFAULT_RISK_PERCENT,MAXIMUM_CAPITAL_EXPOSURE,MINIMUM_TRADE_COUNT,MINIMUM_WINS_COUNT
AAPL,1440,1.0,11.5,10,3
ADBE,1440,1.0,11.5,10,3
AMD,1440,1.0,11.5,10,3
AMZN,1440,1.0,11.5,10,3
AVGO,1440,1.0,11.5,10,3
BAC,1440,1.0,11.5,10,3
BMY,1440,1.0,11.5,10,3
CMCSA,1440,1.0,11.5,10,3
COST,1440,1.0,11.5,10,3
ACN,1440,1.0,11.5,10,3
CRM,1440,1.0,11.5,10,3
CSCO,1440,1.0,11.5,10,3
CVX,1440,1.0,11.5,10,3
DHR,1440,1.0,11.5,10,3
DIS,1440,1.0,11.5,10,3
GOOG,1440,1.0,11.5,10,3
HD,1440,1.0,11.5,10,3
ABT,1440,1.0,11.5,10,3
JNJ,1440,1.0,11.5,10,3
JPM,1440,1.0,11.5,10,3
KO,1440,1.0,11.5,10,3
LIN,1440,1.0,11.5,10,3
LLY,1440,1.0,11.5,10,3
MA,1440,1.0,11.5,10,3
META,1440,1.0,11.5,10,3
MRK,1440,1.0,11.5,10,3
MCD,1440,1.0,11.5,10,3
